segment,loneliness_group,mean_rt,sem_rt,n
shift_trial,Low loneliness (bottom 25%),1356.6078153540388,6.117316865162869,210
shift_trial,High loneliness (top 25%),1511.707608290934,6.117316865162869,210
post_shift_error,Low loneliness (bottom 25%),2187.7724000117446,5.444009884199527,206
post_shift_error,High loneliness (top 25%),2487.722423589846,5.444009884199527,206
exploration,Low loneliness (bottom 25%),1542.636036554329,6.746902940535734,207
exploration,High loneliness (top 25%),1677.2991337593342,6.746902940535735,207
confirmation,Low loneliness (bottom 25%),1684.06805778864,8.467382726075776,209
confirmation,High loneliness (top 25%),1884.3128981786033,8.467382726075776,209
exploitation,Low loneliness (bottom 25%),1340.2472030660783,7.316550417964354,209
exploitation,High loneliness (top 25%),1336.6215173418245,7.316550417964354,209
