variable_1,variable_2,label,gender,n,r,p,r_partial,p_partial
pe_rate,prp_tau_long,WCST PE × PRP τ,Male,27,0.18340923914464982,0.35980945777332446,0.05585894888110091,0.7819849391555206
pe_rate,prp_tau_long,WCST PE × PRP τ,Female,44,0.12264505872888166,0.42771032332388637,0.122604136432622,0.42786568361483146
pe_rate,prp_sigma_long,WCST PE × PRP σ,Male,27,-0.265100553045309,0.1814256264925664,-0.19218204417676907,0.33688072592780405
pe_rate,prp_sigma_long,WCST PE × PRP σ,Female,44,-0.24456846975089955,0.10960198817783691,-0.16589181661655575,0.28183709382358
pe_rate,wcst_sd_rt,WCST PE × WCST RT SD,Male,31,0.23536258578315467,0.20245550388749303,0.22069348796153362,0.2328484544547811
pe_rate,wcst_sd_rt,WCST PE × WCST RT SD,Female,50,-0.1622694716598367,0.26021697979465647,-0.12162886936159001,0.4001108502801437
pe_rate,tau,WCST PE × Stroop τ,Male,27,0.23744037712588228,0.23304823093855595,0.16984023192089054,0.3970316822163665
pe_rate,tau,WCST PE × Stroop τ,Female,45,0.037184159005399474,0.8083900705451129,0.04264452627630362,0.7809012946496869
pe_rate,sigma,WCST PE × Stroop σ,Male,27,0.5438597275283947,0.0033647769635194676,0.5506917660486214,0.0029145237429875973
pe_rate,sigma,WCST PE × Stroop σ,Female,45,-0.08850497945021793,0.5631704042654953,-0.13469988262353172,0.3776702311377538
