item,mean_male,mean_female,mean_diff,t_statistic,df,p_value,invariant,scale
ucla_1,3.433333333333333,3.292452830188679,0.14088050314465406,1.337903769848488,135.64726074374823,0.1831664372894164,True,UCLA
ucla_2,2.4166666666666665,2.452830188679245,-0.036163522012578664,-0.26071153022058047,125.58417727727814,0.7947419913595923,True,UCLA
ucla_3,1.9,1.9433962264150944,-0.04339622641509444,-0.2992065783080465,94.60237590840876,0.7654387628858488,True,UCLA
ucla_4,2.3333333333333335,2.452830188679245,-0.1194968553459117,-0.800150649211109,108.96521814554517,0.4253645344800723,True,UCLA
ucla_5,3.316666666666667,3.1226415094339623,0.19402515723270453,1.447508544868516,128.30005197387672,0.15019364183111805,True,UCLA
ucla_6,3.066666666666667,3.1320754716981134,-0.06540880503144653,-0.545177421715384,117.42692901147424,0.5866655018815772,True,UCLA
ucla_7,1.5666666666666667,1.990566037735849,-0.4238993710691823,-3.3368380136898526,144.12822629452558,0.0010780791182416483,False,UCLA
ucla_8,2.05,2.1792452830188678,-0.12924528301886795,-0.9018175451443784,127.43542842379158,0.3688550941970741,True,UCLA
ucla_9,3.0166666666666666,3.0283018867924527,-0.011635220125786105,-0.09020064981517159,124.99004986221499,0.9282721540871319,True,UCLA
ucla_10,3.316666666666667,3.160377358490566,0.15628930817610076,1.3130416807596235,127.22921322846358,0.191532209270878,True,UCLA
ucla_11,2.1166666666666667,2.2264150943396226,-0.1097484276729559,-0.7924389872029143,119.923171445088,0.42966958549678713,True,UCLA
ucla_12,1.8833333333333333,2.3773584905660377,-0.49402515723270435,-3.440124468040173,135.93741076145886,0.0007725635311572887,False,UCLA
ucla_13,2.0,2.2735849056603774,-0.2735849056603774,-1.732883191344102,118.46035677395129,0.0857187839233291,True,UCLA
ucla_14,1.8166666666666667,2.0754716981132075,-0.2588050314465409,-1.8998509711820633,119.12461672911824,0.05987025020556147,True,UCLA
ucla_15,3.1333333333333333,3.0943396226415096,0.03899371069182367,0.2906491769840611,108.03006451413447,0.7718768810065113,True,UCLA
ucla_16,3.3,3.0943396226415096,0.2056603773584902,1.673309470275806,112.50921392782763,0.09704464400551083,True,UCLA
ucla_17,2.933333333333333,3.1037735849056602,-0.17044025157232712,-1.2556474207444037,122.3350154175923,0.21163679608462194,True,UCLA
ucla_18,2.15,2.3962264150943398,-0.24622641509433985,-1.805999092339803,110.48894495543134,0.07364097333971253,True,UCLA
ucla_19,3.35,3.30188679245283,0.04811320754716997,0.3986301577402786,119.52330412340666,0.69087698014815,True,UCLA
ucla_20,3.4,3.358490566037736,0.04150943396226392,0.3545782347387879,107.20762986457558,0.7236021025683321,True,UCLA
dass_1,0.6440677966101694,0.6571428571428571,-0.013075060532687699,-0.11132274565814763,105.22295235099656,0.9115724917911434,True,DASS-21
dass_2,0.4067796610169492,0.3904761904761905,0.016303470540758702,0.1463699410456466,104.80095898647936,0.8839105379130088,True,DASS-21
dass_3,0.2711864406779661,0.37142857142857144,-0.10024213075060534,-1.03087574340478,127.45235262788617,0.304551371533587,True,DASS-21
dass_4,0.1694915254237288,0.2,-0.030508474576271205,-0.3910992378222685,110.14389012827384,0.6964793975161983,True,DASS-21
dass_5,0.8813559322033898,0.9619047619047619,-0.08054882970137212,-0.6177631770312608,116.83830163031607,0.5379336939441277,True,DASS-21
dass_6,0.5254237288135594,0.580952380952381,-0.05552865213882163,-0.4849310437829227,120.38624645610054,0.6286064860866754,True,DASS-21
dass_7,0.423728813559322,0.5238095238095238,-0.10008071025020182,-0.8667116387733189,105.21278108759402,0.3880723152017631,True,DASS-21
dass_8,1.1355932203389831,1.3142857142857143,-0.17869249394673115,-1.1755038612658009,130.55854736087426,0.2419324079317886,True,DASS-21
dass_9,0.6779661016949152,0.8095238095238095,-0.1315577078288943,-1.0448540176341292,127.7838203237575,0.29806297801620873,True,DASS-21
dass_10,0.4067796610169492,0.5333333333333333,-0.12655367231638415,-1.0283321517518593,115.85366729707853,0.3059357833679064,True,DASS-21
dass_11,0.6779661016949152,0.819047619047619,-0.1410815173527038,-1.0842899652362088,128.65564370143488,0.28026398231604555,True,DASS-21
dass_12,0.3728813559322034,0.3047619047619048,0.0681194511702986,0.7364790975307078,112.45966713529786,0.4629727252339677,True,DASS-21
dass_13,0.6271186440677966,0.9142857142857143,-0.28716707021791765,-2.1347422039678876,112.73106132329362,0.03494790748980536,False,DASS-21
dass_14,0.8983050847457628,0.9714285714285714,-0.07312348668280866,-0.533700468356793,119.4171861254864,0.594540809779069,True,DASS-21
dass_15,0.2542372881355932,0.37142857142857144,-0.11719128329297823,-1.3284907275620228,135.44606029534165,0.18625002406923064,True,DASS-21
dass_16,0.3898305084745763,0.45714285714285713,-0.06731234866828084,-0.5475253295228353,108.06763932805724,0.5851469084002381,True,DASS-21
dass_17,0.2033898305084746,0.34285714285714286,-0.13946731234866827,-1.4958566585784248,155.52840190447623,0.1367174394783095,True,DASS-21
dass_18,0.4745762711864407,0.6571428571428571,-0.18256658595641645,-1.6187691379758622,126.12930491994513,0.10799486162024885,True,DASS-21
dass_19,0.3898305084745763,0.37142857142857144,0.018401937046004846,0.1791559285227074,114.7416031448547,0.8581312420078016,True,DASS-21
dass_20,0.2033898305084746,0.24761904761904763,-0.04422921711057304,-0.5491715509653772,126.74365759361187,0.5838539718773035,True,DASS-21
dass_21,0.3898305084745763,0.45714285714285713,-0.06731234866828084,-0.5182871536869755,101.48477059121863,0.6053860986700985,True,DASS-21
