,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,8.908419071686208,0.9305013442065978,9.573784204774114,3.615455569277335e-18,7.0737859636946245,10.74305217967779
C(trial_block)[T.Late],2.45105460806471,1.315927620783354,1.8626059437871139,0.06395540134145025,-0.14350841523566515,5.045617631365086
C(trial_block)[T.Mid],3.325831790702185,1.315927620783378,2.5273668081549205,0.012250409665180656,0.7312687674017617,5.920394814002608
C(gender_male)[T.1.0],-0.23886751747296486,1.5195641104426432,-0.15719476120252912,0.8752468284470691,-3.2349326431079377,2.757197608162008
C(trial_block)[T.Late]:C(gender_male)[T.1.0],-1.4391886287577056,2.1489881738834002,-0.669705234420612,0.5038030178401096,-5.676264563183748,2.7978873056683367
C(trial_block)[T.Mid]:C(gender_male)[T.1.0],0.015060631594938645,2.148988173883385,0.00700824312482043,0.9944151253872292,-4.222015302831075,4.252136566020951
z_ucla,-1.0669065343706827,0.9153005904160678,-1.1656351427520653,0.2451230463070793,-2.8715689106226856,0.7377558418813199
C(trial_block)[T.Late]:z_ucla,-0.5347493957425324,1.2944305086145054,-0.41311556872597344,0.6799558404894053,-3.086927403742574,2.0174286122575085
C(trial_block)[T.Mid]:z_ucla,0.08838071900329303,1.2944305086145065,0.06827768537214973,0.9456314627537508,-2.4637972889967505,2.640558727003336
z_ucla:C(gender_male)[T.1.0],0.8818595412495198,1.5382907053747892,0.5732723588384834,0.5670916916772522,-2.151128079206518,3.914847161705558
C(trial_block)[T.Late]:z_ucla:C(gender_male)[T.1.0],2.2231522877535466,2.1754715784135015,1.0219174131315552,0.3080303177067589,-2.066139939605083,6.5124445151121755
C(trial_block)[T.Mid]:z_ucla:C(gender_male)[T.1.0],1.5994430858349684,2.1754715784135015,0.7352167234477909,0.46305190303240584,-2.689849141523661,5.888735313193598
