participant_id,ucla_total,gender_male,mean_post_shift_pe_rate,n_shifts
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,32.0,0,24.0,5
2h5FgHUEvBS1twD5DqbTIRrMm1f2,65.0,1,36.0,5
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,50.0,0,24.0,5
5zxa5CMLGQSSonWOXqXf0QNS3PH3,54.0,1,20.0,5
62fAfeQc27bZelkPX7G54T3gvci2,49.0,0,24.0,5
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,57.0,0,24.0,5
80UJMJbCOMgs6YVpsMgXfYTzw6o2,56.0,0,20.0,5
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,42.0,0,24.0,5
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,38.0,1,36.0,5
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,25.0,0,40.0,5
AsXBOflrszVNKoFqbN61bMJqS0k2,42.0,0,52.0,5
AyAnuCaltBbpEYbudoyNzTvXlcC2,62.0,0,36.0,5
CDEoAyvS8feXLKMKsaZah9agEhF3,33.0,0,24.0,5
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,30.0,1,32.0,5
CtJe4bZZnYUBNrcPk00d3YQFSGp2,45.0,0,44.0,5
DPvStUYSmohmXwFwaKRqHv89R3k1,52.0,1,12.0,5
DzB19GqCB7fyrlEPexogWkjFzEx2,25.0,0,32.0,5
EUhcW9kURScie1DwGPHqmNqotJB2,36.0,0,53.333333333333336,3
Fz7EUjZCLuUBxLDUVtN6djaBTy42,49.0,1,36.0,5
GDZGRW51kbWtAdUIHCtEd8sAtqY2,26.0,0,40.0,5
GE4hogtdLdTFbNasENgtm6SO3hC3,56.0,0,12.0,5
HyQM2xKwwuVfqidmRYF6TiRk90C2,21.0,1,24.0,5
K26uNuY0VNPjJNF26wEx3bFg0kr2,43.0,0,28.0,5
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,39.0,0,28.0,5
LSLmd8jENtONZFVkIpRDX665Bu73,20.0,0,28.0,5
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,34.0,1,24.0,5
LliUMEIsrCVZ88YFQfevan2Og4z1,28.0,1,28.0,5
ORvIk1xRWIQmKuLVe6GXNouvAXx2,54.0,0,36.0,5
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,49.0,1,24.0,5
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,64.0,1,28.0,5
QreA2rLiUhV3YHeMfuHMPdGbpJ53,44.0,0,44.0,5
Rc706mP0TSeIoIpMYH1SpRXjOxA2,46.0,0,4.0,5
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,49.0,0,12.0,5
WbOfW9KmUkPQK8o5hlHJnJFdpp92,22.0,1,24.0,5
WcTsIpSoEhYeIBSNjAbbdaNSBya2,30.0,0,44.0,5
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,54.0,0,36.0,5
azdL1gX79EVd9iepyCAVQrqIaQF3,32.0,0,28.0,5
cEIs6U87xfbSL5eFTXDK77MmvNf1,62.0,1,24.0,5
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,40.0,1,20.0,5
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,59.0,0,32.0,5
fEq0OghbLpfD1jigl1Mbz96aMbg2,31.0,0,44.0,5
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,60.0,0,16.0,5
h5RYP03wJuVN0xo7qAR8CKFxLaj1,29.0,0,36.0,5
i1tBstVkNiVP0qro7TgGD08IGGa2,26.0,0,32.0,5
iKVZi0Oo96UrMBhPQMHWFcf55uA3,33.0,1,16.0,5
iWsc4pghIEWOQUZKuQJMfe516UI3,27.0,1,24.0,5
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,54.0,1,36.0,5
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,23.0,0,32.0,5
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,41.0,0,8.0,5
jzdk8E3tVXTXIozlfK5oeEb7wWp2,37.0,1,28.0,5
kR2rCtaPyPaj7YMizKUDn5xL2qx1,53.0,1,36.0,5
lHDkoPQu5reNCO45npeYSS9eLQl1,36.0,0,48.0,5
lpzDdvuMkKWkPxu6xeclmdctEp42,52.0,0,36.0,5
mUZzgdWKnPb2txOkJg9FHgqX5792,33.0,0,52.0,5
mg2WZiRBn4NQDKiMK43Y8dBqyG53,54.0,0,36.0,5
mwsliuPsLFhRFjtjQwYkqcCRDvi2,49.0,1,28.0,5
nT1qJOiMyDdJ9ui4el195A8Hsgs1,62.0,0,20.0,5
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,29.0,0,40.0,5
pcbRW89vVJcviD87V3uxyG4I9st2,33.0,1,8.0,5
q0Atnpm0jZS5swcVmq0EMalQUKw1,24.0,0,20.0,5
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,40.0,1,24.0,5
rUuJv5gl7dWVo7UPQWMx4bohxhK2,43.0,0,24.0,5
roaf78tUWxWSEjAUcUu8O7mrQbl1,58.0,0,32.0,5
ssPK6ISW0HerTGke9hznqJ2LpKu1,41.0,1,32.0,5
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,65.0,0,20.0,5
u64Uf920g5VD9Byq26LT2rs5o4t1,34.0,1,32.0,5
v8nNKiWvPdcjiHXZci39OuFTY6M2,31.0,0,32.0,5
wdppvL4tIkVlGjou6aYzzjlaZXB2,44.0,1,50.0,2
xBGZhFOeypWnqzSQClkrwV9z2vF3,43.0,1,32.0,5
xyAILKfYP2M8GqAai11x6NT7IcP2,35.0,1,24.0,5
y1EHXv8tUTa4BRS4fRio7bULYfA2,35.0,0,36.0,5
yatBVTBMCSMp0wJluOCLzTFKMyP2,35.0,0,36.0,5
